rank_by_sigma_total_upper,source_panel_response_name,case_key,snapshot_code,wind_code,equivalent_panel_count,base_surface_rms_mm,active_panel_u_rms_threshold_mm,primary_weighting,selected_local_time,active_panel_count_upper_threshold,active_panel_fraction_upper_threshold,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_delta_rms_mean_C,panel_delta_rms_max_C,u_rms_upper_panel_mean_mm,u_rms_upper_panel_p95_mm,u_rms_upper_panel_max_mm,sigma_T_central_min_mm_weighted_mm,sigma_T_central_min_mm_unweighted_mm,sigma_T_central_min_mm_primary_mm,sigma_total_central_min_mm_primary_mm,f10_sigma_T_central_min_mm_GHz,f10_sigma_total_central_min_mm_GHz,eta_R_sigma_T_central_min_mm_4p5_GHz,eta_R_sigma_total_central_min_mm_4p5_GHz,eta_R_sigma_T_central_min_mm_30p0_GHz,eta_R_sigma_total_central_min_mm_30p0_GHz,eta_R_sigma_T_central_min_mm_100p0_GHz,eta_R_sigma_total_central_min_mm_100p0_GHz,sigma_T_central_max_mm_weighted_mm,sigma_T_central_max_mm_unweighted_mm,sigma_T_central_max_mm_primary_mm,sigma_total_central_max_mm_primary_mm,f10_sigma_T_central_max_mm_GHz,f10_sigma_total_central_max_mm_GHz,eta_R_sigma_T_central_max_mm_4p5_GHz,eta_R_sigma_total_central_max_mm_4p5_GHz,eta_R_sigma_T_central_max_mm_30p0_GHz,eta_R_sigma_total_central_max_mm_30p0_GHz,eta_R_sigma_T_central_max_mm_100p0_GHz,eta_R_sigma_total_central_max_mm_100p0_GHz,sigma_T_central_mid_mm_weighted_mm,sigma_T_central_mid_mm_unweighted_mm,sigma_T_central_mid_mm_primary_mm,sigma_total_central_mid_mm_primary_mm,f10_sigma_T_central_mid_mm_GHz,f10_sigma_total_central_mid_mm_GHz,eta_R_sigma_T_central_mid_mm_4p5_GHz,eta_R_sigma_total_central_mid_mm_4p5_GHz,eta_R_sigma_T_central_mid_mm_30p0_GHz,eta_R_sigma_total_central_mid_mm_30p0_GHz,eta_R_sigma_T_central_mid_mm_100p0_GHz,eta_R_sigma_total_central_mid_mm_100p0_GHz,sigma_T_upper_mm_weighted_mm,sigma_T_upper_mm_unweighted_mm,sigma_T_upper_mm_primary_mm,sigma_total_upper_mm_primary_mm,f10_sigma_T_upper_mm_GHz,f10_sigma_total_upper_mm_GHz,eta_R_sigma_T_upper_mm_4p5_GHz,eta_R_sigma_total_upper_mm_4p5_GHz,eta_R_sigma_T_upper_mm_30p0_GHz,eta_R_sigma_total_upper_mm_30p0_GHz,eta_R_sigma_T_upper_mm_100p0_GHz,eta_R_sigma_total_upper_mm_100p0_GHz
11,panel_response_winter_solstice_axis_v05.csv,winter_solstice,axis,v05,3737,0.07,0.001,weighted_by_grid_points,,3253,0.8704843457318705,106.60381031708648,237.4086518486152,0.22877379578319748,4.828226670519585,0.03660380732531156,0.10923681094701022,0.7725162672831336,0.041946251912407535,0.04183302656311387,0.041946251912407535,0.08160568637968284,184.6105949582192,94.89194767369581,0.9999373997485959,0.9997630848992629,0.9972215465827026,0.9895244472885933,0.9695582999780301,0.8895772112904703,0.05033550229488905,0.05019963187573665,0.05033550229488905,0.08621869165835666,153.84216246518264,89.81489248876049,0.9999098568794657,0.9997355468315644,0.9960014739825976,0.9883137918736477,0.9564592179703547,0.8775587026117069,0.04614087710364829,0.046016329219425264,0.04614087710364829,0.0838390156185888,167.82781359838108,92.3641870635222,0.9999242541936916,0.9997499416359676,0.9966390528845971,0.9889464495942574,0.9632842367357026,0.8838207099200047,0.08389250382481508,0.08366605312622777,0.08389250382481508,0.1092609362855573,92.30529747910958,70.87366066110218,0.999749622506151,0.999575340391229,0.9889324194143019,0.9812993001205199,0.8836814003404561,0.810784494137107
12,panel_response_spring_equinox_axis_v02.csv,spring_equinox,axis,v02,3737,0.07,0.001,weighted_by_grid_points,,3640,0.974043350280974,134.5215226617983,237.19508927200363,0.33212750418274395,4.315225888065268,0.05314040066923899,0.17712163316079096,0.6904361420904429,0.04159266043437387,0.04107032859590894,0.04159266043437387,0.08142450123893379,186.18002409427908,95.10310046718678,0.9999384506621568,0.9997641356296226,0.9972681280574803,0.989570669222166,0.9700616331593946,0.8900390233628731,0.04991119252124865,0.04928439431509074,0.04991119252124865,0.08597166474422342,155.15002007856586,90.07296235167074,0.9999113701536597,0.9997370598419558,0.9960684699275221,0.9883802707073623,0.9571743070984247,0.8782148023969255,0.045751926477811254,0.045177361455499845,0.045751926477811254,0.08362558685253603,169.2545673584355,92.5999184373085,0.9999255257825237,0.999751213003129,0.9966953838224512,0.9890023457392377,0.9638893617779658,0.884375916809153,0.08318532086874776,0.08214065719181793,0.08318532086874776,0.1087188925993846,93.09001204713951,71.2270180156409,0.9997538253776205,0.9995795425300297,0.989117209478282,0.9814826638740919,0.885517835127723,0.8124694372053172
13,panel_response_winter_solstice_peak_v05.csv,winter_solstice,peak,v05,3737,0.07,0.001,weighted_by_grid_points,,3280,0.8777093925608777,105.66588918973132,237.4224495118824,0.22912491353125053,4.601402288545632,0.03665998616500004,0.12065778602426765,0.7362243661673011,0.04153661674395389,0.04154675861457178,0.04153661674395389,0.08139588767581635,186.43122933078266,95.13653260541372,0.999938616413625,0.9997643013521961,0.997275475143094,0.9895779595989693,0.9701410433347981,0.8901118828107114,0.049843940092744676,0.04985611033748614,0.049843940092744676,0.08593263852558654,155.3593577756522,90.11386889407792,0.9999116088293186,0.9997372984760073,0.9960790370210174,0.988390756238272,0.9572871406278336,0.8783183280296121,0.04569027841834929,0.045701434476028965,0.04569027841834929,0.08359187485603056,169.48293575525693,92.63726331241917,0.9999257263392114,0.9997514135248545,0.9967042686972877,0.9890111620357687,0.9639848375364871,0.8844635165532974,0.08307323348790781,0.08309351722914358,0.08307323348790781,0.10863315388101576,93.2156146653913,71.28323394070355,0.9997544882612429,0.9995802052980945,0.989146357944672,0.9815115873567349,0.8858078280900848,0.8127355079828635
14,panel_response_summer_solstice_evening_v00.csv,summer_solstice,evening,v00,3737,0.07,0.001,weighted_by_grid_points,,3737,1.0,67.88615652631646,237.84101074951312,0.2982604304644583,5.488122063602424,0.04772166887431328,0.12738098126884545,0.8780995301763879,0.03987052029328046,0.04039856776354722,0.03987052029328046,0.08055841600017276,194.22175745025265,96.12555591709112,0.9999434418918368,0.9997691259892026,0.9974893920772344,0.9897902254056462,0.9724557363770328,0.8922356315131372,0.047844624351936565,0.04847828131625667,0.047844624351936565,0.08478860819342374,161.8514645418772,91.32975156463888,0.9999185573376417,0.9997442457730265,0.9963867223665456,0.988696066700642,0.9605778615107097,0.8813375897967389,0.043857572322608514,0.044438424539901954,0.043857572322608514,0.08260439849083605,176.5652340456842,93.74467538403498,0.9999315650955386,0.999757251263336,0.9969629657589695,0.9892678623325615,0.9667685400392686,0.8870175850497898,0.07974104058656095,0.08079713552709449,0.07974104058656095,0.10610670833565407,97.1108787251263,72.9805178511493,0.9997737867595411,0.9995995004321672,0.9899953239625437,0.9823540005922693,0.8942920500251784,0.8205198469846142
15,panel_response_summer_solstice_peak_v02.csv,summer_solstice,peak,v02,3737,0.07,0.001,weighted_by_grid_points,,3513,0.9400588707519401,128.82773730739746,237.2341263389368,0.29577244972484534,3.717823605976904,0.047323591955975214,0.18095654216289392,0.5948517769563046,0.039780644084077166,0.03952376461951845,0.039780644084077166,0.08051397173002972,194.66056169051427,96.17861788985225,0.999943696584079,0.9997693806370455,0.9975006840143522,0.9898014301854403,0.9725780605683584,0.8923478649012638,0.0477367729008926,0.04742851754342215,0.0477367729008926,0.08472779642473534,162.21713474209523,91.39530176139694,0.999918924085364,0.9997446124568152,0.9964029648214796,0.9887121837874581,0.9607518616492966,0.8814972362646737,0.04375870849248489,0.04347614108147031,0.04375870849248489,0.08255195072758893,176.9641469913766,93.80423422542982,0.9999318732694996,0.9997575593835744,0.9969766218083194,0.9892814129770812,0.9669156886365486,0.8871525950216672,0.07956128816815436,0.07904752923903695,0.07956128816815436,0.10597168761030513,97.33028084525709,73.07350384277416,0.99977480535605,0.9996005188511086,0.9900401531300925,0.9823984837438751,0.894742103185306,0.8209327742269757
16,panel_response_winter_solstice_evening_v02.csv,winter_solstice,evening,v02,3737,0.07,0.001,weighted_by_grid_points,,3180,0.850949959860851,73.91223198673515,237.75618338733668,0.2118178677090333,6.339719814101355,0.03389085883344529,0.09467380890824625,1.0143551702562168,0.03889807018025343,0.03891781595356529,0.03889807018025343,0.08008158255022138,199.07729319044697,96.69792073552732,0.9999461671006399,0.9997718507229317,0.997610222369319,0.9899101230636946,0.9737654032776163,0.8934372609862354,0.04667768421630412,0.04670137914427835,0.04667768421630412,0.08413564169718447,165.89774432537246,92.03855067377505,0.9999224815430111,0.9997481692943058,0.9965605302762279,0.9888685330661674,0.9624412984451294,0.8830473075430305,0.04278787719827877,0.04280959754892182,0.04278787719827877,0.08204146777779506,180.9793574458609,94.38790810996159,0.999934862559968,0.9997605481529325,0.9971090951112495,0.9894128637788729,0.9683441919353419,0.8884632578058327,0.07779614036050687,0.07783563190713061,0.07779614036050687,0.10465294766508819,99.53864659522347,73.99430875658145,0.999784685789822,0.9996103975624664,0.9904751011402013,0.9828300745882336,0.8991193869238691,0.8249489657868504
17,panel_response_spring_equinox_peak_v02.csv,spring_equinox,peak,v02,3737,0.07,0.001,weighted_by_grid_points,,3469,0.9282847203639283,124.23629223130106,237.2651664592977,0.295179490988558,3.878124475059826,0.04722871855816924,0.18469521906730207,0.6204999160095721,0.03859043098550672,0.03832889208213259,0.03859043098550672,0.0799326051348707,200.664318175798,96.87814514178378,0.9999470152241078,0.9997726986985498,0.9976478293818176,0.9899474398047783,0.9741733491508753,0.8938115544684317,0.046308517182608075,0.04599467049855912,0.046308517182608075,0.08393139319498936,167.2202651464983,92.26252808441632,0.999923702812104,0.9997493903505,0.9966146278415686,0.9889222130770206,0.9630219625345385,0.8835800713194479,0.0424494740840574,0.042161781290345854,0.0424494740840574,0.08186548631757501,182.4221074325436,94.59080828979893,0.9999358887778538,0.999761574191922,0.9971545769182324,0.9894579945324861,0.9688350799485769,0.8889136513405786,0.07718086197101347,0.07665778416426522,0.07718086197101347,0.10419637927773034,100.33215908789897,74.31853751056342,0.9997880777401549,0.9996137889214949,0.9906244617421037,0.9829782823436222,0.9006270297317702,0.8263322396804421
18,panel_response_summer_solstice_axis_v05.csv,summer_solstice,axis,v05,3737,0.07,0.001,weighted_by_grid_points,,3737,1.0,151.66074625994852,237.0713015678306,0.310253458120613,4.269688658044186,0.04964055329929804,0.1631487122815196,0.6831501852870697,0.03796910272548125,0.03772820398930699,0.03796910272548125,0.07963449479828542,203.9479989244003,97.24080678143036,0.9999487076166096,0.999774390796024,0.9977228766373353,0.9900219078046837,0.9749878967277404,0.8945589081468105,0.04556292327057751,0.045273844787168394,0.04556292327057751,0.08352233220498895,169.95666577033356,92.71439526869854,0.9999261398013977,0.9997518269149637,0.9967225857567629,0.9890293377141978,0.9641816975366446,0.8846441371203727,0.04176601299802938,0.04150102438823769,0.04176601299802938,0.08151318814616172,185.4072717494548,94.99962764223606,0.9999379365503591,0.9997636216074478,0.9972453399178152,0.9895480569737802,0.9698153676554278,0.8898130728653518,0.07593820545096253,0.07545640797861401,0.07593820545096253,0.10327928663150514,101.97399946220011,74.97846639322825,0.9997948462513502,0.9996205562527644,0.9909225710908935,0.9832740907220148,0.903643019335083,0.8290994333815912
19,panel_response_spring_equinox_evening_v00.csv,spring_equinox,evening,v00,3737,0.07,0.001,weighted_by_grid_points,,3702,0.9906341985549907,67.88295705208195,237.80756469388737,0.3020107389044774,4.5434691667130265,0.048321718224716335,0.12318849444224754,0.7269550666740843,0.037310148163486385,0.03772740236739787,0.037310148163486385,0.07932242530319725,207.5500340520035,97.62337059435282,0.9999504724845505,0.9997761553563029,0.9978011436131423,0.990099570673323,0.975838050683923,0.8953389309525825,0.04477217779618367,0.04527288284087745,0.04477217779618367,0.08309360928863954,172.95836171000286,93.19275679694908,0.9999286811548623,0.9997543678254049,0.9968351791504725,0.9891410620507413,0.9653925828759823,0.8857551337498534,0.041041162979835025,0.04150014260413766,0.041041162979835025,0.0811441745212642,188.681849138185,95.43165073159524,0.9999400720179606,0.9997657567027823,0.9973399984108058,0.9896419848409415,0.9708386901927764,0.8907519791787173,0.0746202963269728,0.07545480473479577,0.0746202963269728,0.10231416629150251,103.7750170260017,75.68573153158785,0.9998019046555647,0.9996276134265172,0.9912335417667931,0.9835826611567863,0.9067989193622021,0.8319949959746811
20,panel_response_spring_equinox_axis_v05.csv,spring_equinox,axis,v05,3737,0.07,0.001,weighted_by_grid_points,,3638,0.9735081616269735,134.5215226617983,237.19508927200363,0.27559673866528434,4.105076448519378,0.04409547818644544,0.1500013232328161,0.6568122317631004,0.03682156969641046,0.03630162630257656,0.03682156969641046,0.07909379239173965,210.3039763286297,97.90556613423469,0.99995176109161,0.999777443738725,0.9978582935365564,0.9901562794824865,0.9764592524088113,0.8959088883219202,0.04418588363569257,0.04356195156309188,0.04418588363569257,0.08277917801396052,175.25331360719136,93.54674336716575,0.9999305367091161,0.9997562230561879,0.9969173964060708,0.9892226447087598,0.9662776621380115,0.8865672007928613,0.040503726666051516,0.039931788932834215,0.040503726666051516,0.08087367849824943,191.18543302602697,95.75083841381733,0.9999416312164963,0.9997673156295095,0.9974091182746992,0.9897105712000611,0.9715865434221901,0.8914381402793871,0.07364313939282097,0.07260325260515314,0.07364313939282097,0.10160370061976316,105.15198816431479,76.21496534655398,0.9998070583279447,0.9996327662004793,0.9914606563114887,0.9838080227076687,0.9091101355162156,0.8341155546053723
